round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,loglin_converged
1,Curve01235,0.2673678769763177,0.6198959839996124,0.4741120431932658,2.94251512569002,-274.20131417629324,7.560079145316019e-05,43,True,0.24492129360786585,0.013710165731366198,0.3178255030957526,5.5,8.5,2.830081330820165,0.9845740923089038,True
1,Curve00661,0.3708527679452446,0.0450733969082579,0.3697439913415865,1.8198702673458025,-331.50366462609617,5.775977238471221e-05,48,True,0.18325953756803556,0.01212515859580893,0.21226888913953837,8.0,11.0,3.7823252735351502,0.9785805523207698,True
1,Curve01071,0.2498756261565466,0.2261910533695576,0.3314585939873927,2.765123539913413,-310.5780777381432,1.5488604794257445e-05,42,True,0.1863210785753582,0.009231981052003721,0.21936966737132305,6.5,9.5,3.7201758698471656,0.987873453149176,True
1,Curve00743,0.2727450137768786,0.1916139851274812,0.3310170109960802,2.9212571939206016,-340.9175079567103,4.413819915727072e-05,48,True,0.19783457645622957,0.01408732940145074,0.24163837064314359,6.5,9.5,3.503670556361529,0.9752742370782935,True
1,Curve02465,0.2687643255754642,0.2343751596288283,0.3450530646258855,2.722620941210562,-317.93303055922087,2.5131510957854315e-05,44,True,0.21385767136978603,0.012254274793973048,0.24636292498378762,6.5,9.5,3.2411611709799697,0.9838480999645209,True
1,Curve00579,0.25232005016712,0.2467983566542234,0.3246845845740409,3.1018222982340427,-353.4474361791492,3.0855889888930883e-05,48,True,0.2053816551739883,0.009866687355697481,0.23756935700499573,6.5,9.5,3.374922555633064,0.9885920774249864,True
1,Curve02383,0.2563254053551174,0.2196200270002942,0.3424678801937659,2.8921380292828704,-319.53750812165833,2.3863858903861508e-05,44,True,0.19581536268565639,0.009713017094896814,0.22967791263664258,6.5,9.5,3.539799794322873,0.9878472494727135,True
1,Curve00167,0.2021080813838366,0.7524905217605441,0.3286554884763425,4.207167623136123,-298.67498892369986,4.677503521137008e-05,44,True,0.20076145995470923,0.009024982957950237,0.23229757088323186,5.5,8.5,3.4525908544215396,0.9899968699215161,True
1,Curve00989,0.3878592480554009,0.0549779311337824,0.3237547181145645,2.2782462204341374,-337.8192605565458,8.282530921603875e-05,50,True,0.19006852886846076,0.01294818347364956,0.2428144371803892,7.5,10.5,3.646827724118632,0.9773219902434263,True
1,Curve01317,0.2789445464744408,0.2230252619414153,0.3345813942159422,2.8273212186300927,-336.2607744315794,5.0419355086711295e-05,48,True,0.2202090099538787,0.013844754779034369,0.25792907569087536,6.5,9.5,3.1476785654915767,0.9806192409747092,True
1,Curve00084,0.2268723610982511,0.4104795788062683,0.3472813983071806,3.187747537862953,-313.3556968037392,2.9130286408546836e-05,44,True,0.20696919713597456,0.007824190362419419,0.22942306209499821,6.0,9.0,3.3490354610814945,0.992905118592688,True
1,Curve02055,0.2749318115372298,0.2090691275051708,0.3335597482135127,2.591125904323049,-306.970097894652,1.7540590934224166e-05,42,True,0.21037906495796918,0.012871857611306213,0.24308962350460625,6.5,9.5,3.294753594890378,0.9816264253485143,True
1,Curve01153,0.2385101744127896,0.3488739485697304,0.3325049767143355,3.061621890634571,-297.13856935605185,2.4619428373368013e-05,42,True,0.1973791263537504,0.010140243410659472,0.23443930914046218,6.0,9.0,3.5117552365575904,0.9869752148968877,True
1,Curve01727,0.2838495079563584,0.1867591458016047,0.3381271786399823,2.4829958777969003,-305.98921686071446,1.8144022379236757e-05,42,True,0.2004786579687089,0.010908057028090593,0.23848588039591098,6.5,9.5,3.4574611960348074,0.9854136349527155,True
1,Curve00907,0.2131559159561145,0.3221675630932288,0.3007348725229339,3.4112664890715734,-322.0570785190762,1.5337098121221582e-05,43,True,0.17444271749700746,0.009922485855883467,0.20823581177513398,6.0,9.0,3.973494511582784,0.9840802656321985,True
1,Curve01236,0.3065024709549806,0.2133000004243737,0.4532049077469043,2.3187304354093765,-288.1664979425843,4.746348253075931e-05,43,True,0.2411179815322952,0.005982577298328675,0.26431958888168156,7.0,10.0,2.8747220599435286,0.9969313123906417,True
1,Curve01399,0.2224055216198159,0.3549503347433032,0.3274842995662008,4.015856951471652,-326.12793632224736,6.734878018571888e-05,48,True,0.21321212737636308,0.006394586429518385,0.23048799409251236,6.5,9.5,3.2509744595174856,0.9955226374662152,True
1,Curve02219,0.2737120750682627,0.2005410902171557,0.3238045557723908,2.9086508908891044,-308.7545200807753,3.379130289514778e-05,44,True,0.20275850405196488,0.010056693966783579,0.23795894083141028,6.5,9.5,3.418584999928284,0.9878489762271108,True
1,Curve01481,0.2693730056255382,0.1391650572065359,0.3372550243430747,2.4844521588865818,-343.50197363376657,2.212250756292861e-05,46,True,0.1892584707728489,0.001795962152010141,0.1948032701264697,8.0,11.0,3.662436760317438,0.999549952644331,True
1,Curve02466,0.2676634907372083,0.237757697007512,0.3462625238121143,2.8232563314313928,-314.18738884456354,2.8359147109379654e-05,44,True,0.2134916820627957,0.011133713999332778,0.2470586396747446,6.5,9.5,3.246717501415654,0.9865840235625928,True
1,Curve01809,0.2540450416166549,0.249647610621633,0.3313324516142057,2.7388850920665937,-275.140053505351,1.6611976060680618e-05,91,True,0.22604802146258093,0.0022539260539605663,0.2294278383574876,8.0,11.5,3.066371366911902,0.9994038299326643,True
1,Curve02547,0.297270316807515,0.1561918509630883,0.330267528237288,2.557166382047683,-319.0642742628585,3.387362210937446e-05,45,True,0.192035998451423,0.011684261714190689,0.23804287460842702,6.5,9.5,3.6094648198748125,0.9818263588528688,True
1,Curve02137,0.2615158404423846,0.2129070911628489,0.3318358774692855,2.6756565058715123,-332.7572819674228,1.557895269520755e-05,44,True,0.19742405229203233,0.00981479573828136,0.22713710327235895,6.5,9.5,3.5109560993846514,0.9877932939825325,True
1,Curve01973,0.239260652174449,0.3333552193653945,0.3358503411526791,2.6102509117525887,-402.905646378349,7.510003504166326e-06,48,True,0.19204006266154094,0.011760078018210914,0.2361271728782726,6.0,9.0,3.6093884315252254,0.9815948648883319,True
1,Curve00250,0.2469458654882431,0.2736165375239662,0.2773184333502927,2.347462301033524,-342.7360341789023,3.1084821231137654e-05,47,True,0.1713600506613418,0.014013492691316593,0.2363080827098925,6.0,9.0,4.044975348016262,0.9676436824632888,True
1,Curve01891,0.2243667440659392,0.4237186422063867,0.33208625591157,3.222703809633603,-271.47709852959326,1.912519868400027e-05,91,True,0.2265549180581209,0.0034776139418653757,0.2331219446447866,7.5,11.0,3.059510632129044,0.9985882641088992,True
1,Curve01645,0.2941935176518299,0.1718423251894365,0.340066129264604,2.49792889053675,-285.8093229691627,2.515150798826377e-05,41,True,0.19729633559892842,0.011937911969206795,0.24153102456367534,6.5,9.5,3.513228861832495,0.982023278394458,True
