round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged
1,Curve01235,0.2673678769763177,0.6198959839996124,0.4741120431932658,2.94251512569002,-274.20131417629324,7.560079145316019e-5,43,true
1,Curve00661,0.37085276794524463,0.04507339690825796,0.36974399134158653,1.8198702673458023,-331.50366462609617,5.775977238471221e-5,48,true
1,Curve01071,0.24987562615654665,0.22619105336955764,0.33145859398739275,2.765123539913413,-310.5780777381432,1.5488604794257445e-5,42,true
1,Curve00743,0.2727450137768786,0.19161398512748123,0.3310170109960802,2.9212571939206016,-340.9175079567103,4.413819915727072e-5,48,true
1,Curve02465,0.2687643255754642,0.23437515962882832,0.34505306462588553,2.722620941210562,-317.93303055922087,2.5131510957854315e-5,44,true
1,Curve00579,0.25232005016712,0.24679835665422342,0.3246845845740409,3.1018222982340427,-353.4474361791492,3.0855889888930883e-5,48,true
1,Curve02383,0.2563254053551174,0.21962002700029423,0.3424678801937659,2.8921380292828704,-319.53750812165833,2.3863858903861508e-5,44,true
1,Curve00167,0.20210808138383662,0.7524905217605441,0.32865548847634257,4.207167623136123,-298.67498892369986,4.677503521137008e-5,44,true
1,Curve00989,0.3878592480554009,0.05497793113378249,0.3237547181145645,2.2782462204341374,-337.8192605565458,8.282530921603875e-5,50,true
1,Curve01317,0.27894454647444084,0.2230252619414153,0.3345813942159422,2.8273212186300927,-336.2607744315794,5.0419355086711295e-5,48,true
1,Curve00084,0.22687236109825118,0.4104795788062683,0.34728139830718063,3.187747537862953,-313.3556968037392,2.9130286408546833e-5,44,true
1,Curve02055,0.2749318115372298,0.20906912750517082,0.3335597482135127,2.591125904323049,-306.970097894652,1.7540590934224166e-5,42,true
1,Curve01153,0.23851017441278963,0.3488739485697304,0.3325049767143355,3.061621890634571,-297.13856935605185,2.4619428373368013e-5,42,true
1,Curve01727,0.2838495079563584,0.18675914580160471,0.3381271786399823,2.4829958777969003,-305.98921686071446,1.8144022379236754e-5,42,true
1,Curve00907,0.21315591595611452,0.32216756309322886,0.30073487252293396,3.4112664890715734,-322.0570785190762,1.5337098121221582e-5,43,true
1,Curve01236,0.3065024709549806,0.2133000004243737,0.45320490774690436,2.3187304354093765,-288.1664979425843,4.746348253075931e-5,43,true
1,Curve01399,0.22240552161981592,0.35495033474330323,0.3274842995662008,4.015856951471652,-326.12793632224736,6.734878018571888e-5,48,true
1,Curve02219,0.27371207506826273,0.20054109021715574,0.32380455577239087,2.9086508908891044,-308.7545200807753,3.379130289514778e-5,44,true
1,Curve01481,0.26937300562553823,0.13916505720653594,0.3372550243430747,2.4844521588865818,-343.50197363376657,2.212250756292861e-5,46,true
1,Curve02466,0.26766349073720835,0.23775769700751206,0.34626252381211436,2.8232563314313928,-314.18738884456354,2.8359147109379658e-5,44,true
1,Curve01809,0.2540450416166549,0.24964761062163304,0.33133245161420577,2.7388850920665937,-275.140053505351,1.6611976060680618e-5,91,true
1,Curve02547,0.29727031680751503,0.15619185096308832,0.33026752823728805,2.557166382047683,-319.0642742628585,3.387362210937446e-5,45,true
1,Curve02137,0.2615158404423846,0.2129070911628489,0.3318358774692855,2.6756565058715123,-332.7572819674228,1.557895269520755e-5,44,true
1,Curve01973,0.239260652174449,0.33335521936539453,0.3358503411526791,2.6102509117525887,-402.905646378349,7.510003504166326e-6,48,true
1,Curve00250,0.2469458654882431,0.27361653752396625,0.2773184333502927,2.3474623010335236,-342.7360341789023,3.1084821231137654e-5,47,true
1,Curve01891,0.2243667440659392,0.4237186422063867,0.33208625591157,3.222703809633603,-271.47709852959326,1.912519868400027e-5,91,true
1,Curve01645,0.29419351765182994,0.17184232518943657,0.340066129264604,2.49792889053675,-285.8093229691627,2.5151507988263772e-5,41,true
1,Curve01237,0.2790772128727708,0.22042269238605208,0.34484314851530673,2.5091132026867182,-314.61266210345667,1.96567702543902e-5,43,true
1,Curve00580,0.24201215394979195,0.25885618562805657,0.32471698622496037,3.218722466604395,-360.44389748358424,2.5265220291467857e-5,48,true
1,Curve00825,0.25513186679611166,0.2264001615739943,0.3303414822386302,2.9201131446004576,-312.5435690452598,2.1060338712454235e-5,43,true
1,Curve00168,0.20772194445564643,0.7585655446115792,0.33336653269463234,4.013921202300211,-301.8480009825503,4.22242371929677e-5,44,true
1,Curve01318,0.2584788687179381,0.2494784892182163,0.329271921198048,3.1818721673629082,-334.0581949954077,5.369425281663623e-5,48,true
1,Curve00085,0.2195666998817058,0.43915986655784356,0.33634587948550043,3.2058247996469498,-316.7060821154576,2.6146137066214187e-5,44,true
1,Curve00333,0.21363982332073123,0.3652391187079909,0.3356930808673531,3.872035768408026,-224.10048796477153,3.5542611793026266e-5,36,true
1,Curve02384,0.25446812785606265,0.23909495611031784,0.33512600329515124,3.0671678394161193,-309.7503224104152,3.2723085348779115e-5,44,true
1,Curve02301,0.2667562435834357,0.21180798217048988,0.3327469431834385,2.895981885714066,-302.7874080826873,2.9154140830375846e-5,43,true
1,Curve01154,0.24015467859021017,0.34270947481560293,0.339300637407155,2.98605786128929,-296.64298807927213,2.5043765443233774e-5,42,true
1,Curve01728,0.2644592872630268,0.2436526542750705,0.3372231864087775,2.741276260329963,-300.94579800983286,2.1590473070136648e-5,42,true
