round,label,fit_status,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,loglin_converged
1,Curve00001,fitted,0.0016300659902811524,0.00035032090738648295,0.0017521938990423332,14.0,17.0,425.2264538323334,0.8123898837888516,12.57125775906261,0.08185714285714286,True
1,Curve00002,fitted,0.0001258653566716351,0.00035152281075072106,0.0015077298227192289,13.0,16.0,5507.052924565002,0.025,4.500000000021986,0.081,True
1,Curve00003,fitted,1.8621279393505545e-17,1.986027322597818e-16,4.642052360064261e-16,16.5,19.5,3.722339190086429e+16,,47.69696007084728,0.082,True
1,Curve00005,fitted,1.8621279393505545e-17,1.986027322597818e-16,4.642052360064261e-16,16.5,19.5,3.722339190086429e+16,,47.69696007084728,0.082,True
1,Curve00006,fitted,0.001059135314740938,0.0006114920590741475,0.0007565252248154552,2.0,3.5,654.4462930399856,0.6000000000000001,2.3333333333323862,0.081,True
1,Curve00007,fitted,0.0002499688176838043,0.00024996881768385594,0.001371339288127656,9.0,12.0,2772.934588332275,0.1666666666666667,25.46336139887488,0.082,True
1,Curve00013,fitted,0.21430915339133488,0.002649493215410611,0.2345062583224102,6.5,9.5,3.234333063199769,0.9992363709878316,5.760409086610673,0.3347142857142857,True
1,Curve00014,fitted,0.1816334732414988,0.00923328230455822,0.21725425267074636,5.5,8.5,3.816186345995492,0.9872439869608465,5.385802265171035,0.32157142857142856,True
1,Curve00015,fitted,0.20571157623631442,0.00419795549542178,0.22077018044461097,6.0,9.0,3.36950984111697,0.997922099053439,5.513860351806227,0.3211428571428571,True
1,Curve00016,fitted,0.18604929642933432,0.009609833738554986,0.2244672219146983,5.5,8.5,3.725610329428029,0.986835916281389,5.438608487449475,0.32057142857142856,True
1,Curve00017,fitted,0.20534757778147444,0.003812510453803204,0.2174138110050998,6.0,9.0,3.375482623406323,0.9982794588787202,5.575235959006438,0.323,True
1,Curve00018,fitted,0.1880901758215999,0.009058749824455554,0.2162620245835432,5.5,8.5,3.6851854570936378,0.9885352008684513,5.3908796369241125,0.32,True
1,Curve00019,fitted,0.16036593643559197,0.013681678206269185,0.21182205879794722,5.0,8.0,4.322284370149487,0.9648844241998896,5.129316558271917,0.31685714285714284,True
1,Curve00020,fitted,0.1796984187486299,0.00929092758654448,0.2128497601131793,5.5,8.5,3.8572803555358504,0.9868103479560892,5.433749295116863,0.3231428571428571,True
1,Curve00021,fitted,0.20293508831578302,0.003604567718666476,0.24157496434075715,6.0,9.0,3.4156103131921354,0.9984250109296384,5.635781554074462,0.3275714285714285,True
1,Curve00022,fitted,0.18873995963797888,0.009474621072230675,0.22412772478703652,5.5,8.5,3.672498298131817,0.9875569134496051,5.458585715129173,0.32657142857142857,True
1,Curve00023,fitted,0.16082643941967303,0.014910289813118309,0.21506815411414443,5.0,8.0,4.3099081411060345,0.9587947159771462,5.183034041988246,0.31814285714285717,True
1,Curve00024,fitted,0.19413447166565126,0.009417550444815542,0.22364378458982132,5.5,8.5,3.570448744176255,0.9883705177361102,5.409514030506494,0.32314285714285723,True
1,Curve00025,fitted,0.1995007927015239,0.010153687204657747,0.23546352304602058,6.5,9.5,3.474408152337385,0.9872138570243478,6.221553089226244,0.33742857142857147,True
1,Curve00026,fitted,0.21072618782813463,0.007362605163884314,0.2310497484645674,6.5,9.5,3.2893262470313682,0.9939332899056719,6.116759578931512,0.33528571428571435,True
1,Curve00027,fitted,0.20352275270504197,0.007542198137443858,0.22519460276775313,6.5,9.5,3.4057478652742965,0.9931802568092645,6.165252129336705,0.32628571428571435,True
1,Curve00028,fitted,0.20966601118668698,0.009391440839140695,0.23920458550112803,6.5,9.5,3.3059587323515487,0.9900678481732547,6.1873328686809055,0.3355714285714286,True
1,Curve00029,fitted,0.20407139911165814,0.00906750461233044,0.2339721031185791,6.5,9.5,3.3965915046267123,0.990225035409616,6.143355303500589,0.32757142857142857,True
1,Curve00030,fitted,0.20661221824071624,0.009502794770327805,0.23716577382850712,6.5,9.5,3.354821832232522,0.9895337449789489,6.198130900958331,0.32942857142857146,True
1,Curve00031,fitted,0.20253407712085142,0.010252780013689552,0.2374954601272934,6.5,9.5,3.422373115741637,0.9873489163968457,6.208790875411963,0.3330000000000001,True
1,Curve00032,fitted,0.2044074781634203,0.008712423163885194,0.2323040172595037,6.5,9.5,3.3910069572199597,0.9909982437128569,6.159042740900542,0.33642857142857147,True
1,Curve00033,fitted,0.20704684968618664,0.009359563782820653,0.23758287611572657,6.5,9.5,3.347779411328997,0.9898858570770782,6.121298419483555,0.3321428571428572,True
1,Curve00034,fitted,0.18922302790704976,0.011578760628328627,0.23525863773940325,6.0,9.0,3.6631227616779998,0.9816223233234618,5.856751256902357,0.335,True
1,Curve00035,fitted,0.20742019432596562,0.008166359112557102,0.23256235157784125,6.5,9.5,3.341753597389117,0.9923091933429686,6.075067330861181,0.32885714285714285,True
