dataset,medium,target,cv_r2_mean,cv_r2_std,n
chemical-media,-,gr,0.7006400354140452,0.039091724994770594,1026
chemical-media,-,lag_loglin,-0.8009803921563472,0.3980392156873056,1026
chemical-media,-,N_max_emp,0.8678092187583942,0.02265322485714665,1026
