dataset,medium,target,cv_r2_mean,cv_r2_std,n
chemical-media,-,N_max_emp,0.9093041114387515,0.004370688028344435,13400
chemical-media,-,gr,0.7334787412110058,0.006138529615248534,13400
chemical-media,-,lag_loglin,-0.8000749063669931,0.399850187266014,13355
