ConditionID,"(NH4)2SO4
(mM)","Alanine
(mM)","AminobenzoicAcid
(mM)","Arginine/HCl
(mM)","Asparagine/H2O
(mM)","AsparticAcid
(mM)","CaCl2/2H2O
(mM)","CaSO4/2H2O
(mM)","CuSO4/5H2O
(mM)","Cystine/HCl/H2O
(mM)","FeSO4/7H2O
(mM)","FolicAcid
(mM)","Glucose
(mM)","GlutamicAcid/HCl
(mM)","Glutamine
(mM)","Glycine
(mM)","H3BO3
(mM)","Histidine/HCl/H2O
(mM)","Isoleucine
(mM)","K2HPO4
(mM)","KCl
(mM)","KH2PO4
(mM)",K_ref,"Leucine
(mM)","Lysine/HCl
(mM)","Methionine
(mM)","MgCl2/6H2O
(mM)","MgSO4/7H2O
(mM)","NH4Cl
(mM)",N_max,"Na2HPO4
(mM)","Na2MoO4/2H2O
(mM)","Na2S2O3/5H2O
(mM)","Na3C6H5O7/2H2O
(mM)","NaCl
(mM)","Phenylalanine
(mM)","Proline
(mM)","Pyridoxine
(mM)","Riboflavin
(mM)","Serine
(mM)","Thiamine/HCl
(mM)","Threonine
(mM)","Tryptophan
(mM)","Tyrosine
(mM)","Valine
(mM)","ZuSO4/7H2O
(mM)",exit_lag_rate,gr,r_ref,shape
Cond00011,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.26237777777777765,0.02,0.02,0.02,0.1,0.1,1.0,0.3330072002124079,21.15,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.8103505236910659,0.21054821197590398,1.2912178868397273,4.257691930806731
Cond00012,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2565722222222222,0.02,0.02,0.02,0.1,0.1,1.0,0.3319630875193693,63.45,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.7255737450622883,0.2038556336239763,1.1903843760739932,4.152817353517909
Cond00013,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.25798888888888877,0.02,0.02,0.02,0.1,0.1,1.0,0.3358116177280166,84.6,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.6258086259717368,0.2073433555388731,1.1706473815506417,3.7845891260413245
Cond00014,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,0.02,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.08485000000000005,0.02,0.02,0.02,0.1,0.1,1.0,0.16417353692374898,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.13026303360468475,0.13985284459152872,0.9368706777271879,7.539332828223217
Cond00015,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,0.22,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.10179444444444447,0.02,0.02,0.02,0.1,0.1,1.0,0.18123145843113886,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,1.055141596280918,0.10897351202577582,1.2685710898973055,8.128046174211953
Cond00016,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,20.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.4056555555555557,0.02,0.02,0.02,0.1,0.1,1.0,0.46321098928945204,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.4667320021102749,0.33994067105828196,1.057236035298412,1.3868105654172385
Cond00017,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,200.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.394711111111111,0.02,0.02,0.02,0.1,0.1,1.0,0.4657095366014176,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.2610691937658849,0.3735158119844916,0.9449825600733021,1.4305558810581713
Cond00018,0.015,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.19660000000000008,0.02,0.02,0.02,0.1,0.1,1.0,0.2685226169371947,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.25259317697022277,0.25248536221330165,1.1675340989555794,2.398805456030555
Cond00019,0.115,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2267111111111111,0.02,0.02,0.02,0.1,0.1,1.0,0.3011053880454593,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.24877562805978157,0.24647731572788428,1.2145375789854487,3.0142388991332916
Cond00020,10.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2538777777777778,0.02,0.02,0.02,0.1,0.1,1.0,0.3275063203809395,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.3473441471827654,0.23326252684949317,1.1549410551661108,3.5535542769472794
Cond00021,100.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.23493333333333336,0.02,0.02,0.02,0.1,0.1,1.0,0.31048739656045105,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.16319669776844567,0.26379864205974785,1.0495288888171614,2.9739243510229887
Cond00022,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2472388888888887,0.02,0.02,0.02,0.1,0.1,0.0,0.31793998578321475,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.2347248841785016,0.2549869447830424,1.2200967913410432,3.1694107519908203
Cond00023,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.26082222222222223,0.02,0.02,0.02,0.1,0.1,0.1,0.330076049926392,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.24095084727384894,0.2938838257439358,1.2460494523366812,2.9733997443841442
Cond00024,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.26693333333333336,0.02,0.02,0.02,0.1,0.1,10.0,0.3395624884818043,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.32194818531568553,0.2453251282271296,1.1634775365353542,3.3247118935062137
Cond00025,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2658222222222222,0.02,0.02,0.02,0.1,0.1,100.0,0.34667425276045927,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.22578976808802645,0.2695101191735339,1.1967490646428685,2.466182255581112
Cond00026,1.0,0.0,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.30010000000000003,0.02,0.02,0.02,0.1,0.1,1.0,0.36634089444098134,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.274319232083751,0.32146888325406,1.234751859795191,2.552675120687204
Cond00027,1.0,0.002,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.26760000000000006,0.02,0.02,0.02,0.1,0.1,1.0,0.3394324970282664,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.3563941430836505,0.22049591530775295,1.325283975597982,3.777770778693555
Cond00028,1.0,0.2,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2671555555555556,0.02,0.02,0.02,0.1,0.1,1.0,0.34200770710103734,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.38510481675495006,0.21822621799974232,1.227574259062885,3.589070233927035
Cond00029,1.0,2.0,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.3215722222222221,0.02,0.02,0.02,0.1,0.1,1.0,0.3980627325484868,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.24543885328260698,0.31285367158073407,1.200153305115406,2.2488024422449064
Cond00030,1.0,0.02,0.001,0.0,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.26471111111111123,0.02,0.02,0.02,0.1,0.1,1.0,0.34185089997681184,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.2861858873558369,0.26999751234174224,1.1570889704585472,3.0102491480085343
Cond00031,1.0,0.02,0.001,0.002,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.25379444444444454,0.02,0.02,0.02,0.1,0.1,1.0,0.3278116170748422,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.2722845912749682,0.2414041451748576,1.1099073453387658,3.340859395304572
Cond00032,1.0,0.02,0.001,0.2,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.271461111111111,0.02,0.02,0.02,0.1,0.1,1.0,0.3490292717668738,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.24936046624688268,0.27961971745519504,1.1522419429229012,2.6777854684457187
Cond00033,1.0,0.02,0.001,2.0,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2804055555555556,0.02,0.02,0.02,0.1,0.1,1.0,0.3616394350581017,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.29745369217350764,0.2806111796851029,1.1473662044357391,2.5862667627975973
Cond00034,1.0,0.02,0.001,0.02,0.0,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2526555555555556,0.02,0.02,0.02,0.1,0.1,1.0,0.33396103395138527,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.21648417367637818,0.268930384560971,1.0722597714962454,2.644538466815299
Cond00035,1.0,0.02,0.001,0.02,0.002,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2501,0.02,0.02,0.02,0.1,0.1,1.0,0.33273968731888165,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.23697482823580185,0.26081741898692523,1.1708620987735023,2.7235264527299194
Cond00036,1.0,0.02,0.001,0.02,0.2,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2739888888888889,0.02,0.02,0.02,0.1,0.1,1.0,0.35584884417417734,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.21343500957637607,0.30421198961429413,1.128688909582584,2.311542638357052
Cond00037,1.0,0.02,0.001,0.02,2.0,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.27362777777777797,0.02,0.02,0.02,0.1,0.1,1.0,0.35627828858413063,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.2174133122722833,0.29754576400387434,1.1191333696230472,2.3157233484763644
Cond00038,1.0,0.02,0.001,0.02,0.02,0.0,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2562111111111112,0.02,0.02,0.02,0.1,0.1,1.0,0.3127016839344078,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.05548565716407618,0.29663863472950136,1.0616929131091783,5.28519591888223
Cond00039,1.0,0.02,0.001,0.02,0.02,0.002,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2638777777777779,0.02,0.02,0.02,0.1,0.1,1.0,0.328444006843698,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.07617176673957664,0.31711460378639994,1.0134549033838711,4.570237540274242
