label,gr,exit_lag_rate,N_max,shape
Curve01235,0.2673678769763177,0.6198959839996124,0.4741120431932658,2.94251512569002
Curve00661,0.37085276794524463,0.04507339690825796,0.36974399134158653,1.8198702673458023
Curve01071,0.24987562615654665,0.22619105336955764,0.33145859398739275,2.765123539913413
Curve00743,0.2727450137768786,0.19161398512748123,0.3310170109960802,2.9212571939206016
Curve02465,0.2687643255754642,0.23437515962882832,0.34505306462588553,2.722620941210562
Curve00579,0.25232005016712,0.24679835665422342,0.3246845845740409,3.1018222982340427
Curve02383,0.2563254053551174,0.21962002700029423,0.3424678801937659,2.8921380292828704
Curve00167,0.20210808138383662,0.7524905217605441,0.32865548847634257,4.207167623136123
Curve00989,0.3878592480554009,0.05497793113378249,0.3237547181145645,2.2782462204341374
Curve01317,0.27894454647444084,0.2230252619414153,0.3345813942159422,2.8273212186300927
Curve00084,0.22687236109825118,0.4104795788062683,0.34728139830718063,3.187747537862953
Curve02055,0.2749318115372298,0.20906912750517082,0.3335597482135127,2.591125904323049
Curve01153,0.23851017441278963,0.3488739485697304,0.3325049767143355,3.061621890634571
Curve01727,0.2838495079563584,0.18675914580160471,0.3381271786399823,2.4829958777969003
Curve00907,0.21315591595611452,0.32216756309322886,0.30073487252293396,3.4112664890715734
Curve01236,0.3065024709549806,0.2133000004243737,0.45320490774690436,2.3187304354093765
Curve01399,0.22240552161981592,0.35495033474330323,0.3274842995662008,4.015856951471652
Curve02219,0.27371207506826273,0.20054109021715574,0.32380455577239087,2.9086508908891044
Curve01481,0.26937300562553823,0.13916505720653594,0.3372550243430747,2.4844521588865818
Curve02466,0.26766349073720835,0.23775769700751206,0.34626252381211436,2.8232563314313928
Curve01809,0.2540450416166549,0.24964761062163304,0.33133245161420577,2.7388850920665937
Curve02547,0.29727031680751503,0.15619185096308832,0.33026752823728805,2.557166382047683
Curve02137,0.2615158404423846,0.2129070911628489,0.3318358774692855,2.6756565058715123
Curve01973,0.239260652174449,0.33335521936539453,0.3358503411526791,2.6102509117525887
Curve00250,0.2469458654882431,0.27361653752396625,0.2773184333502927,2.3474623010335236
Curve01891,0.2243667440659392,0.4237186422063867,0.33208625591157,3.222703809633603
Curve01645,0.29419351765182994,0.17184232518943657,0.340066129264604,2.49792889053675
Curve01237,0.2790772128727708,0.22042269238605208,0.34484314851530673,2.5091132026867182
Curve00580,0.24201215394979195,0.25885618562805657,0.32471698622496037,3.218722466604395
Curve00825,0.25513186679611166,0.2264001615739943,0.3303414822386302,2.9201131446004576
Curve00168,0.20772194445564643,0.7585655446115792,0.33336653269463234,4.013921202300211
Curve01318,0.2584788687179381,0.2494784892182163,0.329271921198048,3.1818721673629082
Curve00085,0.2195666998817058,0.43915986655784356,0.33634587948550043,3.2058247996469498
