label,gr,lag_loglin,N_max_emp
Cond00001,0.0007662588698443,11.216988122821133,0.0814642857142857
Cond00002,0.18898679726040535,5.442898081837927,0.32303571428571426
Cond00003,0.2046715659818422,6.009505545724383,0.33968352059925094
Cond00004,0.1849934313225391,5.84670888533924,0.3475238095238095
Cond00005,0.18805958095281058,6.318974753432293,0.34338095238095234
Cond00006,0.20189154988248575,6.276494835281619,0.33745238095238095
Cond00007,0.21136191056123968,6.350819179496645,0.3408139880952381
Cond00008,0.18748236062754964,5.665025573490805,0.3382222222222222
Cond00009,0.2071483922714864,6.3837706557207605,0.3402063492063492
Cond00010,0.20019407989143123,6.152929860078892,0.32853571428571426
Cond00011,0.2071073747615669,5.182843664179952,0.34045238095238095
Cond00012,0.19997607934126893,5.230594161513434,0.3356904761904762
Cond00013,0.19852974129867698,5.3303444027109235,0.33654761904761904
Cond00014,0.09781263331845347,6.965506074323165,0.16539285714285712
Cond00015,0.11037876440915835,4.670887780652276,0.18154761904761899
Cond00016,0.22898214746776094,5.2432304930513665,0.47802380952380946
Cond00017,0.23822629593417646,5.855013992842246,0.4741190476190476
Cond00018,0.16752401497131275,6.052342649470078,0.2728928571428571
Cond00019,0.186230064778907,6.078115139569647,0.3028095238095238
Cond00020,0.19936594358736914,5.8538699576311615,0.33261904761904765
Cond00021,0.19150204474159396,6.572740864680459,0.3132857142857142
Cond00022,0.20170300598758428,6.218400399377025,0.32295238095238094
Cond00023,0.21864954616950683,6.206092339534151,0.3356666666666667
Cond00024,0.19951104924040897,5.858622620951068,0.3452619047619047
Cond00025,0.20461390025841453,6.201932100998751,0.344595238095238
Cond00026,0.22000394818976596,5.965051563072457,0.3511666666666666
Cond00027,0.19090363510299177,5.871091804124132,0.3435833333333333
Cond00028,0.1945368609289222,5.780190141787677,0.34269047619047616
Cond00029,0.22633844439942372,6.012835481845897,0.3855119047619047
Cond00030,0.21280050812021342,6.10898619726006,0.3361428571428571
Cond00031,0.202797833201082,6.149386766389328,0.3265238095238095
Cond00032,0.2083045028917848,5.956767464152683,0.3446190476190476
Cond00033,0.21588145782240564,5.979548492610248,0.3536071428571428
